일자|시간|구분,공급량
2019-01-01 01 A,2113.0217308393494
2019-01-01 02 A,1995.897788051525
2019-01-01 03 A,1899.3547914986148
2019-01-01 04 A,1873.779726923467
2019-01-01 05 A,1958.2330907776147
2019-01-01 06 A,2141.7927804730766
2019-01-01 07 A,2359.6867315370837
2019-01-01 08 A,2531.5619751002378
2019-01-01 09 A,2610.845420899427
2019-01-01 10 A,2604.571514249835
2019-01-01 11 A,2551.234208241433
2019-01-01 12 A,2482.4443145842215
2019-01-01 13 A,2405.586938936546
2019-01-01 14 A,2319.564859872775
2019-01-01 15 A,2240.5182295059267
2019-01-01 16 A,2204.7868250710653
2019-01-01 17 A,2241.4830826879484
2019-01-01 18 A,2340.7100560032577
2019-01-01 19 A,2450.903241871447
2019-01-01 20 A,2511.8118371561427
2019-01-01 21 A,2495.0048216763207
2019-01-01 22 A,2416.2643183007926
2019-01-01 23 A,2311.5603084250083
2019-01-01 24 A,2203.265438914771
2019-01-02 01 A,2090.924345245129
2019-01-02 02 A,1973.7267071146364
2019-01-02 03 A,1877.485834614195
2019-01-02 04 A,1852.5535215647026
2019-01-02 05 A,1937.9531050960595
2019-01-02 06 A,2122.723912934599
2019-01-02 07 A,2342.0544582697094
2019-01-02 08 A,2515.5520483187333
2019-01-02 09 A,2596.6041046481887
2019-01-02 10 A,2592.206336864693
2019-01-02 11 A,2540.815204435509
2019-01-02 12 A,2474.0057240088363
2019-01-02 13 A,2399.129322612157
2019-01-02 14 A,2315.0575908388037
2019-01-02 15 A,2237.902309817966
2019-01-02 16 A,2203.9779777419485
2019-01-02 17 A,2242.3750641365
2019-01-02 18 A,2343.178132713606
2019-01-02 19 A,2454.8077735195156
2019-01-02 20 A,2517.0019080359116
2019-01-02 21 A,2501.3218626796897
2019-01-02 22 A,2423.545662632223
2019-01-02 23 A,2319.642626337771
2019-01-02 24 A,2211.9879993315385
2019-01-03 01 A,2100.132055383432
2019-01-03 02 A,1983.2728854835968
2019-01-03 03 A,1887.234677167974
2019-01-03 04 A,1862.38222600465
2019-01-03 05 A,1947.7536240137047
2019-01-03 06 A,2132.404312367262
2019-01-03 07 A,2351.5398646502
2019-01-03 08 A,2524.785173244557
2019-01-03 09 A,2605.54534357977
2019-01-03 10 A,2600.8334445161627
2019-01-03 11 A,2549.1225562587792
2019-01-03 12 A,2482.003179633156
2019-01-03 13 A,2406.8407133255505
2019-01-03 14 A,2322.518859123727
2019-01-03 15 A,2245.159334445764
2019-01-03 16 A,2211.0841229637813
2019-01-03 17 A,2249.388495973556
2019-01-03 18 A,2350.158949230543
2019-01-03 19 A,2461.814999155774
2019-01-03 20 A,2524.0904045518637
2019-01-03 21 A,2508.539211027246
2019-01-03 22 A,2430.9290710207365
2019-01-03 23 A,2327.2159199615644
2019-01-03 24 A,2219.7587465551587
2019-01-04 01 A,2108.088883929975
2019-01-04 02 A,1991.3830397638271
2019-01-04 03 A,1895.4418651674628
2019-01-04 04 A,1870.6048004609052
2019-01-04 05 A,1955.883138236711
2019-01-04 06 A,2140.3044862680927
2019-01-04 07 A,2359.045990981597
2019-01-04 08 A,2531.703988202168
2019-01-04 09 A,2611.6553794890833
2019-01-04 10 A,2605.8858758382817
2019-01-04 11 A,2552.842543000167
2019-01-04 12 A,2484.0917054735537
2019-01-04 13 A,2406.976908533526
2019-01-04 14 A,2320.3627913384626
2019-01-04 15 A,2240.355243577967
2019-01-04 16 A,2203.2640696406343
2019-01-04 17 A,2238.176386775346
2019-01-04 18 A,2335.1748959239803
2019-01-04 19 A,2442.6799637029926
2019-01-04 20 A,2500.4310767855723
2019-01-04 21 A,2479.993061626827
2019-01-04 22 A,2397.1495188508206
2019-01-04 23 A,2287.8775500142137
2019-01-04 24 A,2174.562512713826
2019-01-05 01 A,2056.7672295619004
2019-01-05 02 A,1933.7048687731194
2019-01-05 03 A,1831.2172966352387
2019-01-05 04 A,1799.68964136564
2019-01-05 05 A,1878.1830109255761
2019-01-05 06 A,2055.7785503918403
2019-01-05 07 A,2267.7102034383993
2019-01-05 08 A,2433.63384920559
2019-01-05 09 A,2506.98811821842
2019-01-05 10 A,2494.8220349302073
2019-01-05 11 A,2435.646927896185
2019-01-05 12 A,2361.0936714104573
2019-01-05 13 A,2278.569965572523
2019-01-05 14 A,2187.0035155463565
2019-01-05 15 A,2102.5614904166323
2019-01-05 16 A,2061.612493941115
2019-01-05 17 A,2093.2992816854207
2019-01-05 18 A,2187.7563714349194
2019-01-05 19 A,2293.451493404668
2019-01-05 20 A,2350.16644906817
2019-01-05 21 A,2329.5027790567665
2019-01-05 22 A,2247.2746963382033
2019-01-05 23 A,2139.4833687371815
2019-01-05 24 A,2028.531292658678
2019-01-06 01 A,1913.9911884901312
2019-01-06 02 A,1795.0786399121337
2019-01-06 03 A,1697.6302809509498
2019-01-06 04 A,1672.018272772858
2019-01-06 05 A,1757.283014827783
2019-01-06 06 A,1942.4772766818787
2019-01-06 07 A,2162.7991150792636
2019-01-06 08 A,2337.8612465222186
2019-01-06 09 A,2421.0521771121257
2019-01-06 10 A,2419.364234388774
2019-01-06 11 A,2371.245938469224
2019-01-06 12 A,2308.2597717663866
2019-01-06 13 A,2237.7400488918424
2019-01-06 14 A,2158.5367414569723
2019-01-06 15 A,2086.735631416045
2019-01-06 16 A,2058.621017924048
2019-01-06 17 A,2103.24920439775
2019-01-06 18 A,2210.666904445881
2019-01-06 19 A,2329.253504555918
2019-01-06 20 A,2398.702743755881
2019-01-06 21 A,2390.5292016976846
2019-01-06 22 A,2320.4620425145704
2019-01-06 23 A,2224.420089800833
2019-01-06 24 A,2124.726965874115
2019-01-07 01 A,2020.8807176439027
2019-01-07 02 A,1912.0271433198902
2019-01-07 03 A,1823.9386163614004
2019-01-07 04 A,1806.9291420174518
2019-01-07 05 A,1899.9875846894292
2019-01-07 06 A,2092.122247077833
2019-01-07 07 A,2318.4941611070676
2019-01-07 08 A,2498.686756855018
2019-01-07 09 A,2586.0672085165743
2019-01-07 10 A,2587.6146000799886
2019-01-07 11 A,2541.7723468157783
2019-01-07 12 A,2480.1059318881476
2019-01-07 13 A,2409.960660421345
2019-01-07 14 A,2330.2052875364097
2019-01-07 15 A,2256.951896662871
2019-01-07 16 A,2226.518256645748
2019-01-07 17 A,2268.0008887287822
2019-01-07 18 A,2371.49298722924
2019-01-07 19 A,2485.426137689324
2019-01-07 20 A,2549.551399226423
2019-01-07 21 A,2535.4451496031224
2019-01-07 22 A,2458.902147947312
2019-01-07 23 A,2355.9098983899084
2019-01-07 24 A,2248.863056019929
2019-01-08 01 A,2137.3323058863652
2019-01-08 02 A,2020.5369377891143
2019-01-08 03 A,1924.3229217409732
2019-01-08 04 A,1899.0772278226736
2019-01-08 05 A,1983.8603368065815
2019-01-08 06 A,2167.750130408746
2019-01-08 07 A,2385.974528446207
2019-01-08 08 A,2558.180546324029
2019-01-08 09 A,2637.7950780367664
2019-01-08 10 A,2631.852553146074
2019-01-08 11 A,2578.846908976699
2019-01-08 12 A,2510.388941449662
2019-01-08 13 A,2433.863740436542
2019-01-08 14 A,2348.1740687059673
2019-01-08 15 A,2269.4600625536964
2019-01-08 16 A,2234.0614833882696
2019-01-08 17 A,2271.0907514926494
2019-01-08 18 A,2370.6509046675365
2019-01-08 19 A,2481.1774239124
2019-01-08 20 A,2542.4194902281656
2019-01-08 21 A,2525.9460675618734
2019-01-08 22 A,2447.539262911894
2019-01-08 23 A,2343.169041770341
2019-01-08 24 A,2235.208035131197
2019-01-09 01 A,2123.200862567677
2019-01-09 02 A,2006.3371878788962
2019-01-09 03 A,1910.430305250035
2019-01-09 04 A,1885.831992594081
2019-01-09 05 A,1971.5655711302263
2019-01-09 06 A,2156.6703526712863
2019-01-09 07 A,2376.3348344907254
2019-01-09 08 A,2550.1663078892807
2019-01-09 09 A,2631.5521785166866
2019-01-09 10 A,2627.488140062901
2019-01-09 11 A,2576.430636076744
2019-01-09 12 A,2509.954667292631
2019-01-09 13 A,2435.411644823229
2019-01-09 14 A,2351.6731433499845
2019-01-09 15 A,2274.8509280934154
2019-01-09 16 A,2241.2594813403275
2019-01-09 17 A,2279.9892567151783
2019-01-09 18 A,2381.1248020325884
2019-01-09 19 A,2493.086691447745
2019-01-09 20 A,2555.612830556379
2019-01-09 21 A,2540.2645298961656
2019-01-09 22 A,2462.819798776007
2019-01-09 23 A,2359.2479397808384
2019-01-09 24 A,2251.9241825714853
2019-01-10 01 A,2140.3987850885233
2019-01-10 02 A,2023.8698224755922
2019-01-10 03 A,1928.1614664443146
2019-01-10 04 A,1903.6384967349545
2019-01-10 05 A,1989.3389895693413
2019-01-10 06 A,2174.3183703196505
2019-01-10 07 A,2393.7821967773743
2019-01-10 08 A,2567.3553455871433
2019-01-10 09 A,2648.4429063868156
2019-01-10 10 A,2644.0579323054426
2019-01-10 11 A,2592.6734878191583
2019-01-10 12 A,2525.8800580403768
2019-01-10 13 A,2451.043025956967
2019-01-10 14 A,2367.046077674675
2019-01-10 15 A,2290.010914948567
2019-01-10 16 A,2256.2595058016104
2019-01-10 17 A,2294.8871059010316
2019-01-10 18 A,2395.9801953917013
2019-01-10 19 A,2507.958275103225
2019-01-10 20 A,2570.5550882672287
2019-01-10 21 A,2555.3246649392686
2019-01-10 22 A,2478.0346420300766
2019-01-10 23 A,2374.6409394588886
2019-01-10 24 A,2267.502530444556
2019-01-11 01 A,2156.15073265147
2019-01-11 02 A,2039.7622383176251
2019-01-11 03 A,1944.1376831355506
2019-01-11 04 A,1919.6164920328188
2019-01-11 05 A,2005.20994223469
2019-01-11 06 A,2189.9456261723885
2019-01-11 07 A,2409.000674955736
2019-01-11 08 A,2581.9714091136602
2019-01-11 09 A,2662.2347149636653
2019-01-11 10 A,2656.7762882479874
2019-01-11 11 A,2604.0431795159716
2019-01-11 12 A,2535.601698095358
2019-01-11 13 A,2458.7953741014794
2019-01-11 14 A,2372.4888315863236
2019-01-11 15 A,2292.7879451489216
2019-01-11 16 A,2256.0025041222207
2019-01-11 17 A,2291.2196107312875
2019-01-11 18 A,2388.5219509265235
2019-01-11 19 A,2496.3298763638445
2019-01-11 20 A,2554.382858793424
2019-01-11 21 A,2534.2457097779093
2019-01-11 22 A,2451.7020150847343
2019-01-11 23 A,2342.728861447396
2019-01-11 24 A,2229.7115916795537
2019-01-12 01 A,2112.213013642011
2019-01-12 02 A,1989.44628083512
2019-01-12 03 A,1887.2532448720642
2019-01-12 04 A,1856.0190193319768
2019-01-12 05 A,1934.8046975763962
2019-01-12 06 A,2112.691410119689
2019-01-12 07 A,2324.9130861158264
2019-01-12 08 A,2491.12559022377
2019-01-12 09 A,2564.7675385268794
2019-01-12 10 A,2552.8879410794866
2019-01-12 11 A,2493.998112078832
2019-01-12 12 A,2419.7289115029753
2019-01-12 13 A,2337.4880251780005
2019-01-12 14 A,2246.2031440370793
2019-01-12 15 A,2162.041422980471
2019-01-12 16 A,2121.3714516219034
2019-01-12 17 A,2153.3359714265084
2019-01-12 18 A,2248.0694861396278
2019-01-12 19 A,2354.0397119580766
2019-01-12 20 A,2411.028436400311
2019-01-12 21 A,2390.6371861834077
2019-01-12 22 A,2308.680160411085
2019-01-12 23 A,2201.1585130915455
2019-01-12 24 A,2090.4747268655
2019-01-13 01 A,1976.2015083814017
2019-01-13 02 A,1857.5544276689832
2019-01-13 03 A,1760.3701051287073
2019-01-13 04 A,1735.0206883525643
2019-01-13 05 A,1820.546563278166
2019-01-13 06 A,2006.0004859988471
2019-01-13 07 A,2226.580499844302
2019-01-13 08 A,2401.8993079539055
2019-01-13 09 A,2485.3454031191477
2019-01-13 10 A,2483.9110996244253
2019-01-13 11 A,2436.044904383053
2019-01-13 12 A,2373.309286659657
2019-01-13 13 A,2303.038547974329
2019-01-13 14 A,2224.082646899835
2019-01-13 15 A,2152.527352409245
2019-01-13 16 A,2124.656950732303
2019-01-13 17 A,2169.527732417809
2019-01-13 18 A,2277.186398263588
2019-01-13 19 A,2396.0123220026876
2019-01-13 20 A,2465.6992299704175
2019-01-13 21 A,2457.76168918272
2019-01-13 22 A,2387.9288511963096
2019-01-13 23 A,2292.119527087728
2019-01-13 24 A,2192.657326720686
2019-01-14 01 A,2089.0402846078077
2019-01-14 02 A,1980.4141866231546
2019-01-14 03 A,1892.5513939546624
2019-01-14 04 A,1875.7658996403925
2019-01-14 05 A,1969.0465559255572
2019-01-14 06 A,2161.40165344866
2019-01-14 07 A,2387.9922120872297
2019-01-14 08 A,2568.401649972253
2019-01-14 09 A,2655.997129400217
2019-01-14 10 A,2657.757722538723
2019-01-14 11 A,2612.126832888003
2019-01-14 12 A,2550.6699319166505
2019-01-14 13 A,2480.732313121166
2019-01-14 14 A,2401.1827200439357
2019-01-14 15 A,2328.133224630517
2019-01-14 16 A,2297.901584291062
2019-01-14 17 A,2339.584308904521
2019-01-14 18 A,2443.274581493993
2019-01-14 19 A,2557.403976375619
2019-01-14 20 A,2621.7235415105015
2019-01-14 21 A,2607.8096435718567
2019-01-14 22 A,2531.457030671457
2019-01-14 23 A,2428.6531959938657
2019-01-14 24 A,2321.792783749828
2019-01-15 01 A,2210.446468183457
2019-01-15 02 A,2093.8335283611177
2019-01-15 03 A,1997.7999236345609
2019-01-15 04 A,1972.7326134926084
2019-01-15 05 A,2057.692068191935
2019-01-15 06 A,2241.756159005258
2019-01-15 07 A,2460.1527953786017
2019-01-15 08 A,2632.528982420591
2019-01-15 09 A,2712.311603904157
2019-01-15 10 A,2706.5350792437594
2019-01-15 11 A,2653.6933356928666
2019-01-15 12 A,2585.3971591725735
2019-01-15 13 A,2509.031629636001
2019-01-15 14 A,2423.499500011102
2019-01-15 15 A,2344.94089680892
2019-01-15 16 A,2309.695571762616
2019-01-15 17 A,2346.875935535353
2019-01-15 18 A,2446.585016384303
2019-01-15 19 A,2557.25828587013
2019-01-15 20 A,2618.6449155916735
2019-01-15 21 A,2602.313860203042
2019-01-15 22 A,2524.0472174788674
2019-01-15 23 A,2419.8149437674906
2019-01-15 24 A,2311.9896609980815
2019-01-16 01 A,2200.115979768336
2019-01-16 02 A,2083.383554952521
2019-01-16 03 A,1987.6056719333033
2019-01-16 04 A,1963.134099875187
2019-01-16 05 A,2048.99215133648
2019-01-16 06 A,2234.219129550679
2019-01-16 07 A,2454.0035232938776
2019-01-16 08 A,2627.952615451347
2019-01-16 09 A,2709.4538033428175
2019-01-16 10 A,2705.5027724072143
2019-01-16 11 A,2654.5559580278723
2019-01-16 12 A,2588.188352856534
2019-01-16 13 A,2513.7513600067687
2019-01-16 14 A,2430.116546244223
2019-01-16 15 A,2353.395668960451
2019-01-16 16 A,2319.9032026962827
2019-01-16 17 A,2358.7295934147833
2019-01-16 18 A,2459.959381354188
2019-01-16 19 A,2572.0131331800076
2019-01-16 20 A,2634.628747083567
2019-01-16 21 A,2619.367526284224
2019-01-16 22 A,2542.007472858476
2019-01-16 23 A,2438.5178822475254
2019-01-16 24 A,2331.273977051201
2019-01-17 01 A,2219.8260082392962
2019-01-17 02 A,2103.3720440714137
2019-01-17 03 A,2007.73624946275
2019-01-17 04 A,1983.2833974454493
2019-01-17 05 A,2069.0515576183334
2019-01-17 06 A,2254.0961488116855
2019-01-17 07 A,2473.622722406598
2019-01-17 08 A,2647.2561486582276
2019-01-17 09 A,2728.4015109501975
2019-01-17 10 A,2724.0718562363836
2019-01-17 11 A,2672.740242903301
2019-01-17 12 A,2605.9971500665392
2019-01-17 13 A,2531.2079548064285
2019-01-17 14 A,2447.256337411958
2019-01-17 15 A,2370.26399391042
2019-01-17 16 A,2336.5528866881305
2019-01-17 17 A,2375.218265866676
2019-01-17 18 A,2476.3466061360423
2019-01-17 19 A,2588.357402961179
2019-01-17 20 A,2650.9843943007227
2019-01-17 21 A,2635.7816050314286
2019-01-17 22 A,2558.5166669738655
2019-01-17 23 A,2455.1454950498246
2019-01-17 24 A,2348.027057572742
2019-01-18 01 A,2236.692667394163
2019-01-18 02 A,2120.3190120309996
2019-01-18 03 A,2024.7067225485014
2019-01-18 04 A,2000.1952193387974
2019-01-18 05 A,2085.7957751845647
2019-01-18 06 A,2270.535978167172
2019-01-18 07 A,2489.5929551400695
2019-01-18 08 A,2662.5630224686493
2019-01-18 09 A,2742.8230624034804
2019-01-18 10 A,2737.3587667092725
2019-01-18 11 A,2684.6171820571617
2019-01-18 12 A,2616.1646139780014
2019-01-18 13 A,2539.3445889018403
2019-01-18 14 A,2453.0217272768923
2019-01-18 15 A,2373.301900203044
2019-01-18 16 A,2336.4948935882267
2019-01-18 17 A,2371.6878063538406
2019-01-18 18 A,2468.9633212232643
2019-01-18 19 A,2576.7417867199474
2019-01-18 20 A,2634.76267157864
2019-01-18 21 A,2614.590784407782
2019-01-18 22 A,2532.009708137921
2019-01-18 23 A,2422.9965267570306
2019-01-18 24 A,2309.9365804241743
2019-01-19 01 A,2192.3926744444343
2019-01-19 02 A,2069.5779598573185
2019-01-19 03 A,1967.3342859098093
2019-01-19 04 A,1936.0467639110525
2019-01-19 05 A,2014.7764850473234
2019-01-19 06 A,2192.604577754776
2019-01-19 07 A,2404.7649692031277
2019-01-19 08 A,2570.9135221641764
2019-01-19 09 A,2644.4888509298653
